,date,Fever,Chills,Shortness of breath,Difficulty breathing,Fatigue,Body aches,Headache,Loss of taste,Loss of smell,Sore throat,Congestion,Runny nose,Nausea,Vomiting
0,2020-01-01,34,3,1,0,4,7,31,0,0,29,53,15,74,41
1,2020-01-02,38,5,2,0,9,4,58,0,0,36,31,18,81,52
2,2020-01-03,35,3,4,1,3,8,29,2,0,37,33,10,74,36
3,2020-01-04,41,2,3,0,3,4,26,0,0,13,40,19,75,43
4,2020-01-05,32,2,3,1,4,0,33,0,0,31,30,11,63,22
5,2020-01-06,33,3,3,0,6,6,29,0,0,29,38,15,48,40
6,2020-01-07,38,5,2,0,5,8,42,0,0,24,32,5,80,33
7,2020-01-08,36,3,3,1,6,6,35,2,0,20,32,20,65,22
8,2020-01-09,33,4,2,1,8,8,26,0,0,24,49,7,62,42
9,2020-01-10,43,4,4,3,7,6,38,0,0,26,32,12,52,32
10,2020-01-11,38,3,6,0,9,2,38,0,0,16,27,16,69,30
11,2020-01-12,41,3,4,0,7,2,26,0,0,17,27,5,59,38
12,2020-01-13,37,3,1,1,7,4,41,0,0,26,32,18,70,16
13,2020-01-14,36,4,4,1,8,5,42,0,0,11,34,13,82,22
14,2020-01-15,30,4,1,0,4,4,37,0,0,22,22,0,55,34
15,2020-01-16,37,5,3,1,6,2,43,0,0,28,25,15,67,35
16,2020-01-17,35,5,4,1,9,6,19,0,0,14,20,13,50,20
17,2020-01-18,31,2,2,2,6,5,34,0,0,11,14,17,56,28
18,2020-01-19,38,1,3,0,8,2,26,0,0,18,27,27,62,40
19,2020-01-20,35,2,3,0,9,2,53,0,0,29,13,10,45,33
20,2020-01-21,28,2,3,0,6,2,42,2,0,18,24,15,61,37
21,2020-01-22,26,5,2,1,6,2,30,0,0,12,15,5,54,24
22,2020-01-23,28,3,2,0,5,4,53,0,0,30,24,17,66,39
23,2020-01-24,43,9,3,1,6,0,42,0,0,38,27,15,74,17
24,2020-01-25,41,5,4,0,5,5,44,0,2,25,34,20,34,39
25,2020-01-26,42,3,2,0,8,2,48,0,0,32,28,21,52,23
26,2020-01-27,39,3,3,1,6,4,42,0,0,23,16,16,76,46
27,2020-01-28,47,6,3,1,9,4,37,0,0,29,48,15,75,24
28,2020-01-29,40,4,1,0,6,4,65,0,2,34,34,10,59,32
29,2020-01-30,41,3,3,1,4,0,20,0,0,32,22,25,62,30
30,2020-01-31,40,5,2,0,6,6,35,0,0,33,32,12,65,47
31,2020-02-01,40,4,1,1,3,7,42,0,0,24,43,16,48,19
32,2020-02-02,41,4,3,0,5,2,59,0,0,17,57,25,65,54
33,2020-02-03,40,3,3,1,8,2,29,0,0,24,27,13,67,33
34,2020-02-04,37,5,2,2,10,10,52,0,0,40,27,12,83,24
35,2020-02-05,39,3,3,1,6,2,41,0,0,22,31,14,72,38
36,2020-02-06,44,1,3,0,9,8,37,0,0,31,24,19,55,31
37,2020-02-07,39,2,2,1,8,2,29,0,0,16,22,12,48,14
38,2020-02-08,36,6,4,0,9,7,39,0,0,28,36,17,59,33
39,2020-02-09,45,4,2,1,10,4,45,0,0,18,39,25,61,42
40,2020-02-10,46,5,4,1,7,2,31,0,0,27,28,21,83,38
41,2020-02-11,44,2,5,0,8,2,32,2,0,23,42,12,37,40
42,2020-02-12,41,6,2,0,8,0,31,0,0,14,24,10,67,52
43,2020-02-13,37,3,3,0,10,6,55,0,0,22,27,14,48,29
44,2020-02-14,40,4,3,0,6,2,40,0,2,34,27,17,56,29
45,2020-02-15,30,7,2,0,6,4,49,0,2,29,41,8,60,33
46,2020-02-16,37,6,6,1,9,4,46,0,0,24,27,11,61,27
47,2020-02-17,37,5,3,0,7,2,42,0,0,18,22,22,46,31
48,2020-02-18,34,2,3,0,8,9,37,0,0,22,39,16,66,46
49,2020-02-19,43,3,3,4,11,0,46,0,0,20,14,5,32,48
50,2020-02-20,38,2,2,0,10,7,39,0,0,22,18,7,57,30
51,2020-02-21,34,3,2,1,11,2,47,0,0,24,25,12,51,23
52,2020-02-22,30,3,3,0,5,2,22,0,0,24,24,13,58,29
53,2020-02-23,38,3,5,1,7,0,28,0,4,28,27,16,66,64
54,2020-02-24,37,5,3,1,11,4,47,2,2,40,30,26,65,33
55,2020-02-25,34,4,1,1,9,2,47,0,0,36,41,16,68,27
56,2020-02-26,41,4,4,1,9,5,32,0,0,37,26,15,50,37
57,2020-02-27,36,3,4,0,10,4,52,0,0,39,27,9,77,32
58,2020-02-28,35,4,0,1,5,2,41,0,0,27,33,14,55,24
59,2020-02-29,35,3,3,2,7,2,57,0,0,55,48,16,75,53
60,2020-03-01,44,6,3,1,2,0,52,2,0,26,40,19,64,32
61,2020-03-02,51,4,2,1,7,4,35,0,0,33,29,11,66,41
62,2020-03-03,49,2,2,0,7,4,39,0,0,28,39,27,45,27
63,2020-03-04,42,2,6,1,8,4,37,0,0,35,43,20,59,27
64,2020-03-05,49,3,5,1,8,2,43,0,0,28,39,18,51,21
65,2020-03-06,45,3,1,1,10,4,55,0,0,34,23,12,60,28
66,2020-03-07,51,3,3,0,4,4,35,0,0,33,24,19,85,29
67,2020-03-08,44,6,3,0,11,2,30,0,0,32,29,29,60,39
68,2020-03-09,52,4,3,1,7,2,49,0,2,54,40,20,64,40
69,2020-03-10,54,6,7,0,10,4,45,0,0,60,48,23,66,41
70,2020-03-11,64,3,6,1,10,4,45,0,0,35,51,18,69,39
71,2020-03-12,81,8,9,2,11,5,50,0,0,53,63,42,68,31
72,2020-03-13,92,3,12,0,10,7,58,2,0,52,55,46,73,50
73,2020-03-14,99,7,4,3,9,15,53,0,0,83,48,40,51,54
74,2020-03-15,99,5,11,1,8,4,52,0,0,69,53,39,58,34
75,2020-03-16,81,3,9,1,7,7,61,0,0,88,46,41,41,37
76,2020-03-17,99,6,12,1,7,7,40,0,2,71,40,54,51,34
77,2020-03-18,100,7,6,1,10,2,74,0,0,88,46,60,63,30
78,2020-03-19,98,5,12,2,8,4,52,2,2,78,44,40,75,44
79,2020-03-20,97,6,14,2,10,7,82,0,0,91,78,37,55,48
80,2020-03-21,85,5,12,3,6,4,54,0,6,71,60,44,70,55
81,2020-03-22,76,6,13,1,8,9,100,4,0,85,37,37,69,34
82,2020-03-23,94,2,12,1,5,2,75,5,2,73,48,31,81,55
83,2020-03-24,81,2,8,2,6,8,49,4,6,78,37,44,56,33
84,2020-03-25,87,4,10,1,9,4,57,4,6,54,33,38,59,49
85,2020-03-26,82,7,9,2,5,10,62,8,2,64,33,28,59,47
86,2020-03-27,73,3,10,2,7,2,49,2,4,51,56,31,56,47
87,2020-03-28,79,4,10,2,8,4,71,4,4,46,31,36,62,44
88,2020-03-29,77,3,10,3,8,2,64,2,2,47,47,31,75,36
89,2020-03-30,78,6,10,2,6,4,81,2,2,51,33,20,74,39
90,2020-03-31,80,4,9,1,4,5,39,0,2,59,26,20,85,22
91,2020-04-01,69,2,8,1,7,7,35,2,3,59,28,36,64,36
92,2020-04-02,66,9,9,1,7,9,62,0,0,43,24,20,66,46
93,2020-04-03,70,6,8,0,6,2,53,2,2,47,33,42,71,31
94,2020-04-04,65,7,6,2,7,6,61,4,0,48,23,18,64,59
95,2020-04-05,64,4,6,1,7,4,49,2,2,51,38,25,79,28
96,2020-04-06,53,3,10,2,9,5,43,3,2,45,32,19,62,38
97,2020-04-07,70,3,6,2,8,7,57,0,0,39,24,20,71,35
98,2020-04-08,65,5,6,4,6,7,59,0,0,43,18,16,76,36
99,2020-04-09,52,3,6,3,5,2,65,2,2,40,27,22,60,27
100,2020-04-10,60,3,6,1,7,6,42,2,2,40,23,16,62,30
101,2020-04-11,48,2,4,1,5,4,69,0,0,23,34,31,70,31
102,2020-04-12,58,3,9,2,7,4,46,0,0,29,21,15,75,34
103,2020-04-13,46,5,5,1,8,2,41,2,0,36,35,13,74,33
104,2020-04-14,47,5,2,2,6,9,47,3,5,28,13,6,45,39
105,2020-04-15,46,6,7,1,6,5,33,7,7,22,27,13,56,27
106,2020-04-16,48,8,4,1,7,9,49,0,0,28,21,11,65,32
107,2020-04-17,44,4,5,0,6,2,35,2,2,39,15,11,78,15
108,2020-04-18,42,3,6,3,8,0,60,2,2,24,15,12,51,32
109,2020-04-19,37,6,8,0,7,0,65,2,2,16,17,17,67,25
110,2020-04-20,40,2,7,0,7,3,47,2,0,26,34,17,73,30
111,2020-04-21,35,4,4,2,7,2,43,2,2,18,7,9,72,39
112,2020-04-22,34,4,3,1,4,11,45,2,2,18,22,11,67,33
113,2020-04-23,38,1,6,0,10,5,42,4,0,19,34,9,32,19
114,2020-04-24,35,3,5,1,3,0,45,0,2,16,27,6,49,15
115,2020-04-25,44,3,7,0,7,2,64,2,2,4,17,12,89,35
116,2020-04-26,41,4,4,2,9,0,55,4,0,18,18,30,68,38
117,2020-04-27,40,4,5,2,7,5,47,2,0,15,18,20,60,42
118,2020-04-28,36,4,6,1,6,4,40,0,0,13,13,9,58,20
119,2020-04-29,39,4,3,0,6,5,36,0,0,22,29,26,53,33
120,2020-04-30,30,2,3,2,5,5,40,0,0,18,8,6,75,23
121,2020-05-01,33,2,4,2,6,2,31,0,0,20,16,14,68,27
122,2020-05-02,30,3,5,1,8,2,52,2,0,17,18,18,49,44
123,2020-05-03,31,3,5,0,7,0,78,0,0,17,24,5,53,32
124,2020-05-04,31,4,4,1,6,5,46,0,0,25,13,9,43,24
125,2020-05-05,35,5,3,2,5,0,30,2,2,20,19,6,60,31
126,2020-05-06,29,3,3,2,6,0,60,0,2,11,11,9,53,31
127,2020-05-07,32,4,4,1,8,0,38,2,0,16,24,9,55,15
128,2020-05-08,31,3,3,1,6,0,67,2,0,11,9,5,52,36
129,2020-05-09,25,4,4,2,8,4,60,0,0,31,10,10,51,31
130,2020-05-10,24,4,5,1,6,0,41,0,0,25,8,5,51,36
131,2020-05-11,29,5,4,1,7,4,51,2,2,20,11,9,47,29
132,2020-05-12,33,5,2,0,7,2,48,2,4,24,27,9,79,34
133,2020-05-13,32,3,3,0,6,2,46,0,0,11,18,16,71,22
134,2020-05-14,32,4,3,0,6,4,41,0,2,19,22,13,61,37
135,2020-05-15,36,4,2,0,9,0,40,2,2,18,26,4,62,48
136,2020-05-16,31,3,7,1,6,6,56,0,0,16,10,10,49,33
137,2020-05-17,29,9,3,1,7,4,46,2,4,21,23,5,52,34
138,2020-05-18,28,3,4,2,8,4,46,2,2,19,15,11,59,30
139,2020-05-19,30,4,5,1,8,0,40,2,0,11,15,13,64,33
140,2020-05-20,32,5,3,1,5,2,50,0,0,16,20,4,61,28
141,2020-05-21,31,4,3,0,6,4,40,0,2,20,9,7,45,27
142,2020-05-22,30,2,3,2,7,4,47,0,0,19,9,0,84,23
143,2020-05-23,29,4,4,0,7,2,64,4,0,8,8,5,33,21
144,2020-05-24,31,5,6,0,6,0,46,0,0,27,20,5,74,31
145,2020-05-25,32,5,4,2,9,0,37,2,2,22,14,7,65,46
146,2020-05-26,31,4,4,1,8,0,51,0,0,13,9,7,89,20
147,2020-05-27,23,3,3,1,7,0,30,0,0,16,15,4,60,33
148,2020-05-28,25,7,2,1,5,0,50,2,0,17,7,14,81,29
149,2020-05-29,22,3,3,2,7,0,41,2,2,21,9,5,60,16
150,2020-05-30,25,5,4,1,9,0,33,2,4,15,10,5,64,28
151,2020-05-31,22,1,1,2,9,2,40,2,0,17,18,10,73,41
152,2020-06-01,22,4,4,0,7,2,43,0,0,17,9,14,63,20
153,2020-06-02,28,4,3,0,8,0,46,0,0,21,14,9,88,37
154,2020-06-03,29,3,3,2,6,2,30,0,0,12,15,13,56,45
155,2020-06-04,22,5,3,1,4,2,44,4,2,18,13,13,54,24
156,2020-06-05,29,5,4,1,6,5,31,0,0,20,27,7,73,56
157,2020-06-06,19,5,2,1,6,2,45,0,0,16,30,13,73,45
158,2020-06-07,20,2,2,1,7,0,31,4,2,21,25,8,66,20
159,2020-06-08,29,4,3,1,7,3,49,3,0,17,15,9,58,32
160,2020-06-09,24,1,3,0,10,4,42,0,2,27,24,7,51,33
161,2020-06-10,29,4,3,2,11,4,36,2,4,11,21,9,67,37
